id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z
51980,劉伯正,Liu Bozheng,1175,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,1,116.681953,28.691545,餘干,0,0,0,1,0,16,1.0,0.001945346515500486,0.0,-0.10649442330675213,1.5173807213961439,-0.2731649128475589,-0.15247069472655322,0.13045681122157346,-0.8718837588452376
52016,劉致一,Liu Zhiyi,1160,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,1,121.542656,29.866316,鄞縣,0,0,0,1,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,1.2161267103990354,-0.541424523111345
52079,劉審瓊,Liu Shenqiong,934,cluster1_song_and_before,宋,military_industrial,军器/制造,0,0,0,0,0,1,115.968147,39.487221,范陽,0,0,0,1,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-0.02897644113971206,2.1649045515494914
52136,閻顒,Yan Yu,992,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,103.67261,30.63656,蜀州,0,0,0,0,0,12,1.0,0.004422771916654614,0.0,-0.19652821259424366,1.5173807213961439,-0.12606085002024975,-0.15247069472655322,-2.7752652835402345,-0.32475740793007496
52213,盧祖皋,Lu Zugao,1169,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,1,120.653221,28.018291,永嘉,0,0,0,1,0,2,1.0,7.910204197284103e-05,0.0,-0.42161268581297245,1.5173807213961439,-0.3839783985561644,-0.15247069472655322,1.0174655688368177,-1.0612679046019733
52268,衛希道,Wei Xidao,1011,cluster1_song_and_before,宋,astronomical,天文/历算,0,0,1,0,0,1,110.332306,34.835129,河東,1,0,0,0,0,36,1.0,0.019211109985116267,0.0,0.3436745231307055,1.5173807213961439,0.7520380874173952,-0.15247069472655322,-1.2877784971900827,0.8562863043474794
52303,錢衮,Qian Gun,1014,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,104.434563,30.857916,金堂,0,0,0,0,0,12,1.0,0.004422771916654614,0.0,-0.19652821259424366,1.5173807213961439,-0.12606085002024975,-0.15247069472655322,-2.605078082905274,-0.2624906899185548
52462,韓丕,Han Pi,946,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,109.759888,34.519627,鄭縣,0,0,0,0,0,9,1.0,0.004540751462619313,0.0,-0.2640535545598623,1.5173807213961439,-0.11905548447671274,-0.15247069472655322,-1.4156318123067158,0.7675366247992821
52545,韓景融,Han Jingrong,1027,cluster1_song_and_before,宋,construction,将作/营缮,0,0,1,0,0,1,114.345497,36.098343,安陽,0,0,0,0,1,31,0.9870967741935484,0.01300223275155227,1.8987651605317836e-07,0.2311322865213411,1.485689091502397,0.38336863475587163,-0.15232756405393555,-0.39140596252793847,1.211624266391446
52553,韓顯符,Han Xianfu,940,cluster1_song_and_before,宋,astronomical,天文/历算,0,0,0,0,0,0,,,,1,0,0,0,0,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,-3.174087617753835e-15,-1.9987334503111837e-15
52583,薛?,Xue Meng (?),1199,cluster1_song_and_before,宋,construction,将作/营缮,0,1,0,0,0,1,120.65322113,28.018291473,溫州,0,0,0,0,1,0,0.0,7.067932822769843e-42,0.0,-0.4666295804567182,-0.9387205953692331,-0.3886753035554917,-0.15247069472655322,1.0174655978731713,-1.061267771548622
