source,target,weight
8012,13573,1
8013,8074,1
8033,16330,1
8033,16333,1
8049,8153,1
8075,12941,1
8075,16239,1
8075,26369,1
8087,20431,1
8087,20432,1
8090,13378,1
8109,26373,1
8116,11612,1
8116,12941,1
8116,13360,1
8116,16667,1
8116,18246,1
8116,18574,1
8116,21237,1
8116,21637,1
8116,26373,1
8116,26376,1
8116,45885,1
8116,46425,1
8153,27057,1
10242,14973,1
10565,10566,1
10565,11450,1
10565,19123,1
10565,19699,1
10565,21482,1
10565,42063,1
10565,43094,1
10566,11450,1
10566,12134,1
10566,12319,1
10566,13279,1
10566,14103,1
10566,14913,1
10566,16302,1
10566,17100,1
10566,17956,1
10566,19123,1
10566,19597,1
10566,27562,1
10566,43094,1
10566,49974,1
10831,11800,1
10890,10892,1
10892,12890,1
10892,12978,1
10892,14994,1
10892,19322,1
10892,19701,1
10892,21998,1
10902,16147,1
11135,12319,1
11236,11247,1
11547,11557,1
11605,31407,1
11701,22250,1
11800,12053,1
11800,14821,1
11800,15431,1
11800,15806,1
11800,16504,1
11800,38648,1
12319,12323,1
12319,19123,1
12319,27057,1
12319,37610,1
12958,13919,1
13243,18616,1
13312,13314,1
13376,13378,1
13378,22250,1
13378,26285,1
13378,27761,1
13378,41312,1
13809,13810,1
13809,24324,1
13809,26151,1
13940,15192,1
13940,27562,1
14043,14045,1
14043,699635,1
14215,15288,1
14858,14866,1
15288,15289,1
15353,31407,1
15501,41385,1
15706,15752,1
15883,15884,1
15884,15885,1
16132,16134,1
17100,17102,1
17100,17108,1
17100,17109,1
17358,17361,1
17879,46425,1
17930,17931,1
18205,19880,1
18246,18257,1
18336,26369,1
18946,18950,1
18954,41961,1
19123,19880,1
19123,24735,1
19123,39948,1
19123,40916,1
19123,41385,1
19123,42680,1
19560,19563,1
19668,19669,1
19699,19701,1
19699,33311,1
19879,19880,1
20268,20276,1
20431,20432,1
21274,26518,1
21429,21432,1
21629,26369,1
21721,21724,1
21724,99043,1
22451,31407,1
22451,94718,1
22548,22549,1
22548,22550,1
22559,22561,1
22559,93164,1
22560,22561,1
22560,93159,1
24295,37736,1
24554,30315,1
24554,67467,1
24554,67777,1
24554,67890,1
24554,68083,1
24554,68196,1
24554,68197,1
24554,68200,1
24554,68267,1
24554,68422,1
24554,126657,1
24554,128594,1
24554,128649,1
24554,129514,1
24554,130981,1
24691,32248,1
26369,26373,1
26518,700146,1
28347,66441,1
28347,66668,1
28347,66883,1
28347,132539,1
29291,112150,1
30315,67777,1
30315,68267,1
30601,35266,1
30680,68264,1
31407,32016,1
31407,32034,1
31407,32085,1
31407,32205,1
31407,92999,1
31407,93096,1
31407,94549,1
31407,94758,1
31498,31501,1
32016,32019,1
32248,33153,1
32248,92999,1
32248,93025,1
32248,94273,1
32248,95071,1
32351,32352,1
32575,92608,1
32878,32879,1
33625,92176,1
33828,124804,1
33828,131106,1
34189,56862,1
34220,124804,1
34220,124891,1
34220,131106,1
34534,34647,1
34637,64213,1
34637,131720,1
34646,68242,1
34646,68258,1
34647,128594,1
34647,131629,1
34653,128508,1
34655,67794,1
34655,68273,1
34655,68313,1
34655,69196,1
34748,34752,1
34752,34754,1
35224,35225,1
35266,124068,1
35266,126299,1
35266,131066,1
35266,131392,1
35266,207775,1
38121,38275,1
40346,40353,1
44584,386323,1
45177,46569,1
45685,47040,1
45885,45886,1
51873,699695,1
55706,131944,1
56862,75284,1
57204,64906,1
57497,59002,1
58388,60793,1
59658,124967,1
59889,366279,1
61573,131392,1
62139,129979,1
62505,126657,1
62505,347187,1
63413,699791,1
63413,699794,1
64213,91233,1
64213,128139,1
64213,132261,1
64213,132281,1
65602,131392,1
66522,131720,1
66673,131720,1
66896,68258,1
67132,67546,1
67157,69196,1
67157,130210,1
67157,296107,1
67159,124967,1
67281,124068,1
67281,131392,1
67434,131720,1
67443,127906,1
67448,131720,1
67733,387291,1
67777,68004,1
67777,127906,1
67777,128191,1
67855,127906,1
67906,127906,1
68083,200321,1
68195,68282,1
68195,69142,1
68196,128956,1
68200,68258,1
68201,68258,1
68203,68395,1
68216,125136,1
68216,128304,1
68216,132583,1
68216,133164,1
68242,68251,1
68242,125309,1
68242,131720,1
68255,69142,1
68255,124891,1
68257,68349,1
68258,100017,1
68258,131720,1
68282,68349,1
68296,132583,1
68303,131106,1
68303,131629,1
68303,133063,1
68307,132583,1
68313,68349,1
68317,68323,1
68317,128301,1
68347,69142,1
68349,68422,1
68349,69142,1
68349,69148,1
68395,127501,1
68395,128233,1
68502,131106,1
68502,306782,1
68548,131106,1
69113,132583,1
69142,125136,1
69142,132583,1
69142,132917,1
69145,125309,1
69148,132583,1
69196,124891,1
69196,125136,1
69196,125309,1
71875,131392,1
92022,92608,1
92079,94116,1
92921,93096,1
102569,102575,1
110115,110129,1
110845,112150,1
