mpnet_id,id,name_zh,cluster,degree,betweenness,clustering,eigenvector,cluster1_song_and_before,cluster2_yuan_ming,cluster3_qing_after
611,11557,劉異,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
612,11578,陳仁玉,cluster1_song_and_before,44,2.3354494268995558e-05,0.781183932346723,0.017512343041528353,1,0,0
613,11602,蘇幹,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
614,11605,蘇頲,cluster1_song_and_before,23,0.0008924470113085252,0.549407114624506,0.0010262914643018033,1,0,0
615,11612,蘇仲昌,cluster1_song_and_before,35,9.925768640377081e-06,0.8857142857142857,0.014636008660570986,1,0,0
616,11650,陳賡,cluster1_song_and_before,29,3.6252025308639813e-06,0.7561576354679803,0.013846736165148999,1,0,0
617,11701,張亢,cluster1_song_and_before,40,1.1898038174616089e-05,0.7423076923076923,0.016935704032198587,1,0,0
618,11704,張倜,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
619,11745,賈耽,cluster1_song_and_before,12,0.00034601546637131925,0.5909090909090909,2.2591568541885924e-05,1,0,0
620,11751,賈湜,cluster1_song_and_before,1,0.0,0.0,0.00012160097729049349,1,0,0
621,11753,賈圭,cluster1_song_and_before,13,3.553688518586689e-06,0.6025641025641025,0.005395988018591544,1,0,0
622,11759,賈守正,cluster1_song_and_before,2,0.00017164019111401502,0.0,1.8203987648431256e-07,1,0,0
623,11783,裴奐,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
624,11785,裴令孫,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
625,11800,劉宰,cluster1_song_and_before,151,0.004935539426043711,0.2980132450331126,0.04635151334292698,1,0,0
626,11861,劉滋,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
627,11879,詹庠,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
628,11910,朱浚,cluster1_song_and_before,1,0.0,0.0,0.00018945897760059917,1,0,0
629,11986,許章,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
630,12013,蔡準,cluster1_song_and_before,20,1.9626226032014558e-07,0.9315789473684211,0.006251007967296421,1,0,0
631,12019,蔡勻,cluster1_song_and_before,24,0.0,1.0,0.011144988161719901,1,0,0
632,12025,商瑤,cluster1_song_and_before,14,0.0,1.0,0.007937493187662624,1,0,0
633,12030,蔡傳,cluster1_song_and_before,24,0.0,1.0,0.011144988161719901,1,0,0
634,12053,王遂,cluster1_song_and_before,64,0.00048684750869761886,0.5347222222222222,0.021454049780658794,1,0,0
635,12072,衛湜,cluster1_song_and_before,60,4.7195643832985716e-05,0.6,0.020397421560467855,1,0,0
636,12104,蔡黃裳,cluster1_song_and_before,5,1.0258189476680769e-08,0.7,0.0020430496261449626,1,0,0
637,12110,蔡潛,cluster1_song_and_before,6,4.415650520722789e-07,0.8666666666666667,0.003124825144243995,1,0,0
638,12134,周必正,cluster1_song_and_before,81,0.00027315384411943824,0.6518518518518519,0.03577944359308093,1,0,0
639,12147,歐陽珣,cluster1_song_and_before,4,0.0,1.0,0.002479585967340412,1,0,0
640,12262,蕭華,cluster1_song_and_before,7,2.605156243058538e-05,0.42857142857142855,0.0008558703603991202,1,0,0
641,12294,蕭映,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
642,12319,余靖,cluster1_song_and_before,317,0.003725053361308303,0.24807331390009185,0.11299927652502258,1,0,0
643,12323,林從周,cluster1_song_and_before,13,1.2222522800409683e-06,0.8846153846153846,0.006288542935816792,1,0,0
644,12324,林冀,cluster1_song_and_before,26,5.482271902268836e-05,0.8584615384615385,0.011211784298030705,1,0,0
645,12351,晏昭素,cluster1_song_and_before,1,0.0,0.0,3.7056323637843556e-36,1,0,0
646,12428,張士程,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
647,12477,林夢英,cluster1_song_and_before,8,0.0,1.0,0.002151808684421532,1,0,0
648,12604,黃棨,cluster1_song_and_before,2,0.0,1.0,0.0005776812451993434,1,0,0
649,12681,曾天麟,cluster1_song_and_before,29,0.00030100322374898455,0.5197044334975369,0.007526333045412084,1,0,0
650,12890,陳韡,cluster1_song_and_before,77,0.00011390895075300021,0.47881066302118935,0.024316534327773538,1,0,0
651,12941,楊徽之,cluster1_song_and_before,85,0.00043047428181985367,0.3509803921568627,0.026772833488534566,1,0,0
652,12944,楊備,cluster1_song_and_before,23,1.2923044572708425e-05,0.7272727272727273,0.006440428671451869,1,0,0
653,12951,黃瑊,cluster1_song_and_before,34,2.2926991611975614e-05,0.7130124777183601,0.016937912681818008,1,0,0
654,12957,張岐,cluster1_song_and_before,2,0.00017164019111401502,0.0,0.00015127187661141092,1,0,0
655,12958,張倣,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
656,12978,朱在,cluster1_song_and_before,61,0.00019945627079059707,0.7180327868852459,0.023513855981388793,1,0,0
657,13048,胡順之,cluster1_song_and_before,3,0.0,1.0,0.0012340622201576382,1,0,0
658,13097,呂蒙巽,cluster1_song_and_before,0,0.0,0.0,7.067932822769843e-42,1,0,0
659,13105,錢燮,cluster1_song_and_before,13,2.8694500869352038e-06,0.7051282051282052,0.008108523935567585,1,0,0
660,13243,劉立言,cluster1_song_and_before,20,2.9338553347158444e-05,0.4473684210526316,0.008059229960347797,1,0,0
661,13258,曾宏迪,cluster1_song_and_before,38,8.225101069672724e-07,0.9758179231863442,0.01592768293315,1,0,0
662,13279,謝諤,cluster1_song_and_before,105,0.00015298518830126609,0.5926739926739927,0.04363700231188301,1,0,0
663,13312,查陶,cluster1_song_and_before,22,5.4438131254625607e-05,0.7489177489177489,0.004777931382463837,1,0,0
664,13313,查文徽,cluster1_song_and_before,5,0.0,0.9,0.0007032647748045949,1,0,0
665,13314,查拱之,cluster1_song_and_before,5,0.0,0.9,0.0007032647748045949,1,0,0
666,13360,石牧之,cluster1_song_and_before,40,0.0012599233268560692,0.7756410256410257,0.01748024380089916,1,0,0
667,13363,石麟之,cluster1_song_and_before,1,0.0,0.0,0.00014084388615808165,1,0,0
