id,name_zh,name_en,index_year,cluster,dynasty_zh,bureau_type,bureau_zh,is_high_official,has_civil_exam,has_yin_privilege,has_recommendation,has_technical_exam,has_geo,x_coord,y_coord,addr_name_chn,bureau_astronomical,bureau_medical,bureau_hydraulic,bureau_military_industrial,bureau_construction,degree,clustering,eigenvector,betweenness,degree_z,clustering_z,eigenvector_z,betweenness_z,x_coord_z,y_coord_z,cluster_label,posting_count,sequenced_posting_count,firstyear_posting_count,lastyear_posting_count,category_posting_count,sequence_length,collapsed_sequence_length,career_sequence,collapsed_career_sequence,first_state,last_state,dominant_domain,dominant_category,technical_domain_postings,technical_domain_share,has_astronomical_posting,has_medical_posting,has_hydraulic_posting,has_military_industrial_posting,has_construction_posting,first_posting_year,last_posting_year,career_span_years,has_any_year,has_two_or_more_sequenced_postings,career_type,distance_to_career_type_medoid
33,陳知儉,Chen Zhijian,1035,cluster1_song_and_before,宋,hydraulic,水利/河道,0,0,1,0,0,1,113.641312,34.758076,管城,0,0,1,0,0,3,0.0,0.0028242939572441,0.0010150237205963,0.8241279832228736,-0.178123192418193,-0.0515890725001091,3.2357051771099443,-0.5486903014295904,0.8346115477429978,Song and before,15,10,11,4,13,15,6,category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_missing_category > domain_hydraulic > category_Classification title > category_Dignitary > category_missing_category,category_unknown_category > category_missing_category > domain_hydraulic > category_Classification title > category_Dignitary > category_missing_category,category_unknown_category,category_missing_category,other,unknown_category,1,0.06666666666666667,0,0,1,0,0,1069.0,1077.0,8.0,1,1,career_type_2,4.0
34,陳執中,Chen Zhizhong,990,cluster1_song_and_before,宋,works_general,工部,1,0,1,0,0,1,114.34333,34.785477,開封,0,0,0,0,0,4,0.0,0.0186723517631122,0.0004239920080413,1.1914063205736174,-0.178123192418193,0.8448874764770937,1.2887526082353384,-0.3918899761925293,0.8423193593235898,Song and before,39,36,19,10,33,39,26,category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > category_Nobility > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_Nobility > category_unknown_category > category_missing_category > domain_military_industrial > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_Titular office > domain_military_industrial > category_missing_category > domain_military_industrial,category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > domain_construction > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > category_Nobility > category_unknown_category > category_Nobility > category_unknown_category > category_missing_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_Titular office > domain_military_industrial > category_missing_category > domain_military_industrial,category_Nominal supernumerary appointment,domain_military_industrial,other,unknown_category,14,0.358974358974359,0,0,0,1,1,1030.0,1057.0,27.0,1,1,career_type_3,15.0
36,陳之淵,Chen Zhiyuan,1102,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,120.297668,31.574614,無錫,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.938050474011595,-0.0608858892110043,Song and before,11,7,4,4,9,11,6,category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > domain_construction > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_missing_category,category_unknown_category > domain_military_industrial > category_unknown_category > domain_construction > domain_military_industrial > category_missing_category,category_unknown_category,category_missing_category,other,unknown_category,5,0.45454545454545453,0,0,0,1,1,1157.0,1167.0,10.0,1,1,career_type_2,4.0
37,陳靖,Chen Jing (5),940,cluster1_song_and_before,宋,works_general,工部,0,0,0,1,0,1,119.011101,25.433954,莆田,0,0,0,0,0,2,1.0,0.0005729392781419,0.0,0.4568496458721299,7.548737710309318,-0.1789413763576764,-0.107944576878429,0.6506872952337401,-1.788233440777808,Song and before,19,18,16,9,19,19,14,domain_military_industrial > domain_construction > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > category_Titular office > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > category_unknown_category > domain_military_industrial,domain_military_industrial > domain_construction > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial,domain_military_industrial,domain_military_industrial,other,unknown_category,10,0.5263157894736842,0,0,0,1,1,996.0,1022.0,26.0,1,1,career_type_3,7.0
53,陳紘,Chen Hong,1019,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,112.38263,34.665276,洛陽,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,-0.8298251825437993,0.808507211599097,Song and before,10,9,4,3,9,10,7,domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_construction > category_unknown_category > category_Titular office > category_unknown_category > category_missing_category,domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > category_Titular office > category_unknown_category > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,2,0.2,0,0,0,1,1,1086.0,1092.0,6.0,1,1,career_type_1,5.0
56,陳若拙,Chen Ruozhuo,955,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,118.86195374,39.877319336,盧龍,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.6173742763706691,2.2746379361628533,Song and before,12,11,9,8,12,12,6,domain_military_industrial > domain_construction > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category,domain_military_industrial > domain_construction > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category,domain_military_industrial,category_unknown_category,other,unknown_category,6,0.5,0,0,0,1,1,992.0,1015.0,23.0,1,1,career_type_1,4.0
62,陳康伯,Chen Kangbo,1097,cluster1_song_and_before,宋,works_general,工部,1,1,0,0,0,1,117.421311,28.401876,弋陽,0,0,0,0,0,2,1.0,0.0061106957014968,0.0,0.4568496458721299,7.548737710309318,0.1343127036247499,-0.107944576878429,0.2955972703930268,-0.9533667000787214,Song and before,24,21,8,7,23,24,11,domain_military_industrial > category_unknown_category > category_Nobility > category_Nobility > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > domain_military_industrial > domain_military_industrial,domain_military_industrial > category_unknown_category > category_Nobility > category_unknown_category > domain_military_industrial > category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial,domain_military_industrial,domain_military_industrial,other,unknown_category,7,0.2916666666666667,0,0,0,1,1,1132.0,1165.0,33.0,1,1,career_type_3,5.0
63,陳膏,Chen Gao,1085,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,121.542656,29.866316,鄞縣,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,1.2161267103990354,-0.541424523111345,Song and before,5,4,2,1,5,5,4,category_unknown_category > category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial,category_unknown_category > domain_construction > category_unknown_category > domain_military_industrial,category_unknown_category,domain_military_industrial,other,unknown_category,2,0.4,0,0,0,1,1,1131.0,1132.0,1.0,1,1,career_type_1,2.0
67,陳貫,Chen Guan,975,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,112.785721,34.840869,河陽,0,0,0,0,0,7,0.238095238095238,0.0143457739399431,0.0006683266381575,2.293241332625849,1.6616055939454997,0.600146095337019,2.093629784306332,-0.7397921635896829,0.8579009475529307,Song and before,10,9,4,2,9,10,7,domain_military_industrial > domain_construction > domain_military_industrial > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_missing_category,domain_military_industrial > domain_construction > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,5,0.5,0,0,0,1,1,1027.0,1029.0,2.0,1,1,career_type_1,5.0
78,陳世卿,Chen Shiqing,953,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,117.781792,26.39761,沙縣,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.3761130663438147,-1.5171601632876586,Song and before,11,10,4,3,9,11,10,category_Titular office > domain_military_industrial > category_unknown_category > category_unknown_category > domain_construction > domain_military_industrial > category_unknown_category > domain_military_industrial > category_missing_category > category_unknown_category > domain_military_industrial,category_Titular office > domain_military_industrial > category_unknown_category > domain_construction > domain_military_industrial > category_unknown_category > domain_military_industrial > category_missing_category > category_unknown_category > domain_military_industrial,category_Titular office,domain_military_industrial,other,unknown_category,5,0.45454545454545453,0,0,0,1,1,1004.0,1016.0,12.0,1,1,career_type_3,7.0
79,陳師錫,Chen Shixi,1046,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,118.10537,27.33988,建陽,0,0,0,0,0,1,0.0,0.0066271102392443,0.0,0.0895713085213861,-0.178123192418193,0.1635247072855466,-0.107944576878429,0.4483863351767474,-1.2521026975730851,Song and before,15,12,7,4,15,15,8,category_Salary rank > category_Nominal supernumerary appointment > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > domain_construction > domain_military_industrial > domain_military_industrial > domain_military_industrial,category_Salary rank > category_Nominal supernumerary appointment > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_construction > domain_military_industrial,category_Salary rank,domain_military_industrial,other,unknown_category,7,0.4666666666666667,0,0,0,1,1,1093.0,1101.0,8.0,1,1,career_type_1,7.0
93,陳從易,Chen Congyi,968,cluster1_song_and_before,宋,works_general,工部,0,1,0,0,0,1,118.589905,24.909641,晉江,0,0,0,0,0,1,0.0,0.011418007655216,0.0,0.0895713085213861,-0.178123192418193,0.4345312391006853,-0.107944576878429,0.5566104057685858,-1.9357209709137615,Song and before,17,15,11,6,16,17,13,domain_military_industrial > domain_construction > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial,domain_military_industrial > domain_construction > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial,domain_military_industrial,domain_military_industrial,other,unknown_category,7,0.4117647058823529,0,0,0,1,1,1002.0,1028.0,26.0,1,1,career_type_3,5.0
94,陳敦夫,Chen Dunfu,1034,cluster1_song_and_before,宋,military_industrial,军器/制造,0,1,0,0,0,1,119.321577,26.073954,侯官,0,0,0,1,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.7200341464231732,-1.60820353633712,Song and before,4,4,1,1,4,4,2,category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial,category_unknown_category > domain_military_industrial,category_unknown_category,domain_military_industrial,other,unknown_category,1,0.25,0,0,0,1,0,1097.0,1097.0,0.0,1,1,career_type_1,2.0
98,陳堯佐,Chen Yaozuo,963,cluster1_song_and_before,宋,military_industrial,军器/制造,1,1,0,0,0,1,113.641312,34.758076,管城,0,0,0,1,0,7,0.0476190476190476,0.0318255789780387,0.001252841525295,2.293241332625849,0.1898225648545455,1.5889256347165388,4.019114892606716,-0.5486903014295904,0.8346115477429978,Song and before,30,30,15,9,30,30,17,category_Titular office > domain_military_industrial > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_Titular office > domain_military_industrial > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category,category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_Titular office > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category,category_Titular office,category_unknown_category,other,unknown_category,13,0.43333333333333335,0,0,0,1,0,999.0,1039.0,40.0,1,1,career_type_3,5.0
99,陳堯咨,Chen Yaozi,970,cluster1_song_and_before,宋,construction,将作/营缮,1,1,0,0,0,1,113.641312,34.758076,管城,0,0,0,0,1,2,1.0,0.0288798595869326,0.0,0.4568496458721299,7.548737710309318,1.4222952257199115,-0.107944576878429,-0.5486903014295904,0.8346115477429978,Song and before,25,21,12,7,17,25,17,domain_military_industrial > category_Titular office > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_construction > domain_military_industrial > category_Titular office > domain_military_industrial > domain_military_industrial > domain_construction > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_missing_category > category_missing_category > category_missing_category > category_unknown_category > domain_military_industrial > domain_military_industrial > category_Concurrent appointment > domain_military_industrial > domain_military_industrial > category_missing_category,domain_military_industrial > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_construction > domain_military_industrial > category_Titular office > domain_military_industrial > domain_construction > category_unknown_category > domain_military_industrial > category_missing_category > category_unknown_category > domain_military_industrial > category_Concurrent appointment > domain_military_industrial > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,12,0.48,0,0,0,1,1,1003.0,1025.0,22.0,1,1,career_type_3,8.0
105,陳祐甫,Chen Youfu,998,cluster1_song_and_before,宋,hydraulic,水利/河道,0,0,0,0,0,1,114.34333,34.785477,開封,0,0,1,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,-0.3918899761925293,0.8423193593235898,Song and before,7,6,6,6,6,7,3,domain_hydraulic > domain_hydraulic > domain_hydraulic > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial,domain_hydraulic > category_unknown_category > domain_military_industrial,domain_hydraulic,domain_military_industrial,hydraulic,unknown_category,4,0.5714285714285714,0,0,1,1,0,1077.0,1103.0,26.0,1,1,career_type_1,2.0
116,程戡,Cheng Kan,997,cluster1_song_and_before,宋,military_industrial,军器/制造,1,1,0,0,0,1,113.467056,34.162491,陽翟,0,0,0,1,0,3,0.3333333333333333,0.042173605678865,5.232154524665142e-05,0.8241279832228736,2.397497108490977,2.1742821105142065,0.0644109241235315,-0.5876115220742312,0.6670754373737681,Song and before,32,31,19,10,32,32,17,category_Nominal supernumerary appointment > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_Titular office > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > domain_military_industrial > category_Titular office > category_Titular office > category_unknown_category > domain_military_industrial > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_hydraulic > domain_military_industrial > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial,category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > category_Titular office > domain_military_industrial > category_Nominal supernumerary appointment > domain_military_industrial > category_Titular office > category_unknown_category > domain_military_industrial > category_unknown_category > domain_hydraulic > domain_military_industrial > category_unknown_category > domain_military_industrial,category_Nominal supernumerary appointment,domain_military_industrial,other,unknown_category,16,0.5,0,0,1,1,0,1043.0,1066.0,23.0,1,1,career_type_3,8.0
117,程克俊,Cheng Kejun,1089,cluster1_song_and_before,宋,works_general,工部,1,1,0,0,0,1,117.236359,29.382742,浮梁,0,0,0,0,0,0,0.0,1.3975995756472909e-33,0.0,-0.2777070288293577,-0.178123192418193,-0.2113508130933243,-0.107944576878429,0.2542870279872101,-0.6774523059394721,Song and before,18,17,4,2,18,18,11,category_unknown_category > category_unknown_category > category_Nobility > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > domain_construction > category_unknown_category > category_unknown_category > domain_military_industrial,category_unknown_category > category_Nobility > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > domain_construction > category_unknown_category > domain_military_industrial,category_unknown_category,domain_military_industrial,other,unknown_category,5,0.2777777777777778,0,0,0,1,1,1132.0,1155.0,23.0,1,1,career_type_3,6.0
118,程琳,Cheng Lin,988,cluster1_song_and_before,宋,works_general,工部,1,1,0,0,0,1,112.38263,34.665276,洛陽,0,0,0,0,0,7,0.0,0.0462329971794803,0.0003173196157227,2.293241332625849,-0.178123192418193,2.4039095719985752,0.9373567629009216,-0.8298251825437993,0.808507211599097,Song and before,30,28,12,7,29,30,14,domain_military_industrial > category_Titular office > domain_military_industrial > domain_military_industrial > category_Titular office > domain_military_industrial > category_Titular office > domain_construction > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > domain_military_industrial > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_unknown_category > category_Concurrent appointment > category_missing_category,domain_military_industrial > category_Titular office > domain_military_industrial > category_Titular office > domain_military_industrial > category_Titular office > domain_construction > category_unknown_category > domain_military_industrial > category_unknown_category > domain_military_industrial > category_unknown_category > category_Concurrent appointment > category_missing_category,domain_military_industrial,category_missing_category,other,unknown_category,7,0.23333333333333334,0,0,0,1,1,1022.0,1049.0,27.0,1,1,career_type_3,7.0
